va_nr;datum;produktion_pdf;produktion_pipe;kv_pdf;kv_pipe;diff_kv;umsatz_pdf;umsatz_pipe;diff_umsatz;kap_pipe;kont_pipe;ausl_pipe;status
13480;2026-03-02;Die Wildente;Die Wildente;394;397;3;11072,2;11179,2;107,0;394,0;0;100,8;ABWEICHUNG_VERGANGENHEIT
13481;2026-03-03;Die Wildente;Die Wildente;394;399;5;10228,9;10386,9;158,0;394,0;4;101,3;ABWEICHUNG_VERGANGENHEIT
13482;2026-03-04;Die Wildente;Die Wildente;389;382;-7;11095,0;10837,1;-257,9;394,0;6;97,0;ABWEICHUNG_VERGANGENHEIT
13483;2026-03-05;Die Wildente;Die Wildente;394;393;-1;12647,0;12557,0;-90,0;394,0;6;99,7;ABWEICHUNG_VERGANGENHEIT
13491;2026-03-01;The Silence;The Silence;277;278;1;10161,0;10246,0;85,0;;0;;ABWEICHUNG_VERGANGENHEIT
13508;2026-03-06;Orlando;Orlando;407;412;5;9838,2;9940,2;102,0;427,0;4;96,5;ABWEICHUNG_VERGANGENHEIT
13509;2026-03-07;Orlando;Orlando;408;413;5;10329,6;10394,6;65,0;428,0;34;96,5;ABWEICHUNG_VERGANGENHEIT
13510;2026-03-08;Orlando;Orlando;367;355;-12;8165,1;8076,1;-89,0;427,0;10;83,1;ABWEICHUNG_VERGANGENHEIT
13511;2026-03-06;Ex;Ex;276;288;12;7692,6;8172,6;480,0;276,0;6;104,3;ABWEICHUNG_VERGANGENHEIT
13512;2026-03-07;Ex;Ex;261;265;4;8112,0;8238,0;126,0;276,0;12;96,0;ABWEICHUNG_VERGANGENHEIT
13513;2026-03-08;Ex;Ex;244;240;-4;6418,0;6414,0;-4,0;276,0;10;87,0;ABWEICHUNG_VERGANGENHEIT
13514;2026-03-06;Paradiesische Zustände;Paradiesische Zustände;99;99;0;1548,0;1548,0;0,0;99,0;4;100,0;OK
13515;2026-03-07;Paradiesische Zustände;Paradiesische Zustände;80;82;2;1160,0;1200,0;40,0;98,0;6;83,7;ABWEICHUNG_VERGANGENHEIT
13516;2026-03-12;Salome;Salome;429;430;1;13048,4;12917,2;-131,2;436,0;5;98,6;ABWEICHUNG_VERGANGENHEIT
13517;2026-03-13;Salome;Salome;436;446;10;14067,1;14305,1;238,0;436,0;3;102,3;ABWEICHUNG_VERGANGENHEIT
13518;2026-03-14;Salome;Salome;436;446;10;14491,8;14880,5;388,7;436,0;11;102,3;ABWEICHUNG_VERGANGENHEIT
13519;2026-03-15;Salome;Salome;436;441;5;14424,9;14661,3;236,4;436,0;4;101,1;ABWEICHUNG_VERGANGENHEIT
13520;2026-03-16;Salome;Salome;436;443;7;14209,6;14518,1;308,5;436,0;8;101,6;ABWEICHUNG_VERGANGENHEIT
13521;2026-03-11;Die Seherin;Die Seherin;278;272;-6;6950,3;6696,5;-253,8;278,0;29;97,8;ABWEICHUNG_VERGANGENHEIT
13522;2026-03-12;Die Seherin;Die Seherin;258;248;-10;5730,2;5495,8;-234,4;278,0;56;89,2;ABWEICHUNG_VERGANGENHEIT
13523;2026-03-13;Die Seherin;Die Seherin;258;262;4;6069,7;6137,7;68,0;278,0;33;94,2;ABWEICHUNG_VERGANGENHEIT
13524;2026-03-15;Streitraum;Streitraum;270;267;-3;2235,2;2205,2;-30,0;270,0;34;98,9;ABWEICHUNG_VERGANGENHEIT
13525;2026-03-12;Egal;Egal;98;101;3;1866,0;1872,0;6,0;98,0;15;103,1;ABWEICHUNG_VERGANGENHEIT
13526;2026-03-13;Egal;Egal;98;99;1;1785,0;1785,0;0,0;98,0;13;101,0;ABWEICHUNG_VERGANGENHEIT
13527;2026-03-14;Egal;Egal;98;100;2;1920,0;1968,0;48,0;98,0;13;102,0;ABWEICHUNG_VERGANGENHEIT
13528;2026-03-21;Sabotage;Sabotage;427;437;10;13445,2;13817,2;372,0;436,0;72;100,2;ABWEICHUNG_ZUKUNFT
13529;2026-03-22;Sabotage;Sabotage;391;401;10;9851,8;9987,8;136,0;436,0;100;92,0;ABWEICHUNG_ZUKUNFT
13530;2026-03-23;Sabotage;Sabotage;359;373;14;9329,5;9695,5;366,0;436,0;96;85,6;ABWEICHUNG_ZUKUNFT
13531;2026-03-24;Sabotage;Sabotage;360;368;8;7970,2;8162,2;192,0;436,0;100;84,4;ABWEICHUNG_ZUKUNFT
13532;2026-03-25;Sabotage;Sabotage;369;371;2;9639,8;9711,8;72,0;436,0;98;85,1;ABWEICHUNG_ZUKUNFT
13533;2026-03-17;The Silence;The Silence;277;279;2;9447,0;9427,0;-20,0;277,0;14;100,7;ABWEICHUNG_VERGANGENHEIT
13534;2026-03-18;The Silence;The Silence;277;271;-6;10624,75;10488,75;-136,0;277,0;43;97,8;ABWEICHUNG_VERGANGENHEIT
13535;2026-03-21;Erinnerung eines Mädchens;Erinnerung eines Mädchens;243;243;0;4761,6;4761,6;0,0;277,0;44;87,7;OK
13536;2026-03-22;Erinnerung eines Mädchens;Erinnerung eines Mädchens;202;207;5;3302,2;3354,2;52,0;277,0;48;74,7;ABWEICHUNG_ZUKUNFT
13537;2026-03-23;Erinnerung eines Mädchens;Erinnerung eines Mädchens;242;245;3;3681,5;3708,5;27,0;277,0;48;88,4;ABWEICHUNG_ZUKUNFT
13538;2026-03-27;Call me Paris;Call me Paris;237;240;3;5029,5;5057,5;28,0;277,0;68;86,6;ABWEICHUNG_ZUKUNFT
13539;2026-03-28;Call me Paris;Call me Paris;185;189;4;3583,0;3691,0;108,0;277,0;60;68,2;ABWEICHUNG_ZUKUNFT
13540;2026-03-29;Call me Paris;Call me Paris;220;224;4;4191,0;4263,0;72,0;277,0;48;80,9;ABWEICHUNG_ZUKUNFT
13541;2026-03-18;Genesis;Genesis;108;110;2;1676,0;1722,0;46,0;108,0;9;101,9;ABWEICHUNG_VERGANGENHEIT
13542;2026-03-19;Genesis;Genesis;108;106;-2;1795,0;1755,0;-40,0;108,0;9;98,1;ABWEICHUNG_VERGANGENHEIT
13543;2026-03-20;Genesis;Genesis;106;110;4;1772,0;1830,0;58,0;108,0;7;101,9;ABWEICHUNG_HEUTE_TIMING
13551;2026-03-26;Egal;Egal;92;94;2;1539,5;1565,5;26,0;98,0;17;95,9;ABWEICHUNG_ZUKUNFT
13552;2026-03-27;Egal;Egal;93;93;0;1631,5;1631,5;0,0;98,0;12;94,9;OK
13553;2026-03-28;Egal;Egal;91;95;4;1569,0;1610,0;41,0;98,0;18;96,9;ABWEICHUNG_ZUKUNFT
